Title,Release Year,Parent Rating,genre,Summary,Writers,Stars,Direcctor
Luka Chuppi,,,Comedy,,,Maan Rajnish,
Being Annabel,2019,,Thriller,"A broke woman impersonates her own twin sister in order to inherit her wealth, but becomes embroiled in a love triangle.","Temitope Bolade, Diche Enunwa, Chinneylove Eze","Henry Agbor, Padita Agu, Emeka Amadi",Okey-Zubelu Okoh
Captain Marvel,2019,15,"Action, Adventure, Sci-Fi",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,"Anna Boden, Ryan Fleck, Geneva Robertson-Dworet","Brie Larson, Samuel L. Jackson, Ben Mendelsohn",Anna Boden
Kumbalangi Nights,2019,Not Rated,"Comedy, Drama, Romance","The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love.",Syam Pushkaran,"Shane Nigam, Soubin Shahir, Fahadh Faasil",Madhu C. Narayanan
She Is,2019,,Drama,,"Doris Ariole, Musa Jeffery David","Somkele Iyamah-Idhalama, Chiwetalu Agu, Ime Bishop Umoh",Chris Eneaji Eneng
She is,2012,,Music,,,Ermes Di Salvia,
Wonder Park,2019,PG,"Animation, Adventure, Comedy",Wonder Park tells the story of an amusement park where the imagination of a wildly creative girl named June comes alive.,"Josh Appelbaum, André Nemec, Robert Gordon","Sofia Mali, Jennifer Garner, Ken Hudson Campbell",Dylan Brown
Kesari,2019,18,"Action, Drama, History","Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897.","Girish Kohli, Anurag Singh","Akshay Kumar, Parineeti Chopra, Suvinder Vicky",Anurag Singh
Kesari,2016,,"Documentary, Biography, History","A journey into the intellectual life of Kesari Balakrishna Pillai, who played a pivotal role in the making of Modern Kerala.",,K.R. Manoj,
P over D,2019,,"Comedy, Drama, Romance","Six years of single parenthood and a betrayal from the baby father, Ailla (Salma Mumin) turned her mind to being an independent woman aided by her best friend Ursula (Ruth Kadiri) who set a business meeting for her with some business moguls (Toosweet Annan and Peter Ritchie) Met by Theon, a flirt mate of Jesse (Dcryme) who worked with her in the office and who had vow... Read all",Kwame Kyei Baffour,"Toosweet Annan, Mimi Buari, Dcryme",Kwame Kyei Baffour
Zero Hour,2013,,"Drama, Fantasy, Thriller",Revolves around a bizarre twist of fate that pulls a man who's spent 20 years as the editor of a skeptics magazine into one of the most compelling conspiracies in human history.,,"Anthony Edwards, Carmen Ejogo, Scott Michael Foster",
Zero Hour,2004– ,,"Documentary, Biography, Drama","Zero Hour dramatizes the hour leading up to some of the most memorable historical events as they unfold minute by minute. The focus of the series isn't the event itself, but the individual moments that culminate in the actual event. The aim of Zero Hour is to experience history just before it became history.",,"Paul McGann, Sean Pertwee, David Morrissey",
Zero Hour,2022– ,,Drama,"A political debate in a citizenship class between Amir, an idealistic teacher, and Lian, an opinionated student in the twelfth grade, gets out of control, escalates into a conflict that crosses all boundaries.",,"Doron Ben-David, Maya Landsman, Alma Zack",
Zero Hour,1998,,War,"Set in the isolated trenches of W.W.I, Zero Hour is the tale of a young British Officer confronted with shocking discoveries about his newly assigned Company in Northern France. In his quest for duty and honor, Lieutenant Oliver Enfield decides to set things right by taking matters into his own hands. On the eve of a major offensive, Lieutenant Enfield embarks on an u... Read all",Sterling Zielinski,"Henry Kemp, Steve Hosford, Kalli Jonson",Sterling Zielinski
Stunde Null,1977,,"Drama, Romance, War","Leipzig area in 1945. The American occupying forces withdraw to the Elbe river, leaving the territory to the Russians.","Karsten Witte, Petra Kiener, Edgar Reitz","Kai Taschner, Herbert Weissbach, Günter Schiemann",Edgar Reitz
The Zoya Factor,2019,12A,"Comedy, Drama, Romance","Based on Anuja Chauhan's novel, Zoya Factor is a rom-com about Zoya, an advertising agent, and her relationship with the captain of Team India, Nikhil Khoda.",Neha Sharma,"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor",Abhishek Sharma
Dumbo,2019,G,"Adventure, Family, Fantasy","A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.","Ehren Kruger, Helen Aberson, Harold Pearl","Colin Farrell, Michael Keaton, Danny DeVito",Tim Burton
Dumbo,1941,G,"Animation, Adventure, Drama","Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.","Joe Grant, Dick Huemer, Otto Englander","Sterling Holloway, Edward Brophy, Herman Bing",Samuel Armstrong
Hire a Woman,2019,,"Comedy, Romance",A young man attends a college reunion with a fake girlfriend in an attempt to make his ex jealous.,,"Uzor Arukwe, Belinda Effah, Alexx Ekubo",
Hotel Mumbai,2018,18,"Action, Drama, History",The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.,"John Collee, Anthony Maras","Dev Patel, Armie Hammer, Nazanin Boniadi",Anthony Maras
Reunion,2020,,"Horror, Mystery, Thriller",A pregnant woman returns to her recently-deceased grandparents' old family home to spend time with her estranged mother. What begins as a tenuous reunion slowly turns terrifying.,"Jake Mahaffy, Tim van Dammen","Julia Ormond, Emma Draper, Cohen Holloway",Jake Mahaffy
Shazam!,2019,12A,"Action, Adventure, Comedy",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,"Henry Gayden, Darren Lemke, Bill Parker","Zachary Levi, Mark Strong, Asher Angel",David F. Sandberg
Shazam!,1974–1977,,"Action, Family, Fantasy","A young boy, able to transform into the superhero Captain Marvel, travels the country fighting evil and helping people.",,"Michael Gray, Les Tremayne, Jackson Bostwick",
Shazam!,2013–2014,,"Animation, Fantasy",Shazam is boy who can turn into a superhero.,,"David Kaye, Tara Strong, Eric Bauza",
Shazam!,1982–1985,,Music,"Shazam! rode the 1980s music video boom created by the advent of MTV and the renaissance in NZ music. Aimed at a younger audience than Radio with Pictures, it played in a late afternoon, weekday time slot, and featured artist interviews and live concerts as well as sponsoring a Battle of the Bands and a music video competition. Presenters were Phillip Schofield, Phill... Read all",,"Budgie, Steven Severin, Siouxsie Sioux",
Piedras,2002,Not Rated,Drama,"""In life, we first organize large stones (Piedras) such as love, friendship, family, and a career."" In this way, we will find space between these to fit smaller stones, our small necessities. If you act in an inverse way, you will not have the room for larger stones. The five protagonists of my film are women who have not been able to organize the large ""stones"" in th... Read all",Ramón Salazar,"Antonia San Juan, Najwa Nimri, Vicky Peña",Ramón Salazar
Stones,2016,Not Rated,"Drama, Music, Romance","Alexander McKay is relaunching his career as a singer songwriter when his girlfriend, Jen, sick of his excessive drinking, throws him out. He winds up on the street, homeless and hung over, but is offered a lifeline when an old friend, Rachel, lets him sleep in her flower shop van and try to get his life back on track. At first it seems as though Alex might take the c... Read all",Don Macnab-Stark,"Alexander McKay, Kirsten Hazel Smith, Mark Homer",Roydon Turner
Us,2019,18,"Horror, Mystery, Thriller",A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss",Jordan Peele
4th Republic,2019,,Thriller,"It deals with an irregular governor elections where in a district there are murders, which makes the commisssions annul in that place, that causes the candidate who lost to start a campaign where she proclaims herself the legitimate president and takes the case to court so that they can be do justice to electoral fraud.","Ishaya Bako, Emil Garuba, Zainab Omaki","Alfred 'Six Foot Plus' Atungu, Kayode Aiyegbusi, Audu Altine",Ishaya Bako
Breakthrough,2019,G,"Biography, Drama","When her 14-year-old son drowns in a lake, a faithful mother prays for him to come back from the brink of death and be healed.","Joyce Smith, Grant Nieporte","Marcel Ruiz, Topher Grace, Sarah Constible",Roxann Dawson
"Steiner - Das Eiserne Kreuz, 2. Teil",1979,PG,"Drama, War","In 1944 a German sergeant gets involved in an anti-Hitler conspiracy, and saves the life of an American colonel.","Peter Berneis, Tony Williamson, Dagobert Lindlau","Richard Burton, Rod Steiger, Helmut Griem",Andrew V. McLaglen
Breakthrough,2015– ,,Documentary,"An anthology of leading scientists and how their cutting-edge innovations and advancements will change our lives in the immediate future and beyond. The series intends to bring to life the stories, people and technology behind these breakthroughs, and show how they are changing our world.",,"Sheila Vand, Mike Colter, Jason Bateman",
Preboj,2019,,"Drama, War",Young partisan resistance fighter commander Franc Sever Franta faces an impossible task when he has to rescue 500 freedom fighters surrounded and outnumbered by a Nazi German division high in the mountains in harsh winter condition.,"Dejan Babosek, Martin Horvat","Domen Valic, Jernej Gasperin, Ana Spik",Dejan Babosek
Breakthrough,1950,Approved,"Drama, War","An American infantry unit, from its pre-invasion training to combat in Europe.","Joseph Breen, Bernard Girard, Ted Sherdeman","David Brian, John Agar, Frank Lovejoy",Lewis Seiler
Hellboy,2019,18,"Action, Adventure, Fantasy","Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.","Andrew Cosby, Mike Mignola","David Harbour, Milla Jovovich, Ian McShane",Neil Marshall
Hellboy,2004,PG-13,"Action, Adventure, Fantasy","A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.","Guillermo del Toro, Peter Briggs, Mike Mignola","Ron Perlman, Doug Jones, Selma Blair",Guillermo del Toro
Jumbled,2019,,"Comedy, Drama, Family","The lives of a couple and a single desperate lady entangle in a story of deception, betrayal and revenge.",Airebamen Irene,"Femi Adebayo, Eucharia Anunobi Ekwu, Lilian Esoro",Saheed Apanpa
Kalank,2019,Not Rated,"Drama, Romance","The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India.","Shibani Bathija, Hussain Dalal, Abhishek Varman","Alia Bhatt, Sanjay Dutt, Kriti Sanon",Abhishek Varman
Kalank,,,Drama,,,"B.K. Harak, Nadira Khan, Shakuntulaa Singh",
1929,2019,,,"The Women's War was a 1929 revolt in British Nigeria, where a group of women took a stand against social and economic injustice. This historical drama follows the story of these women and their crusade.",,,
Away Bus,2019,,"Comedy, Drama","Two sisters - BIBI and KIKI, have to raise twenty thousand Ghana cedis within 12 hours for an emergency surgery to save their dying mother. When all attempts to get help from family and friends failed and the clock ticks, they decide to try a highway bus robbery to raise the funds. It is a successful robbery; they've gathered enough to save their mother. Just as they ... Read all","Kofi Asamoah, Peter Sedufia, Yaw Twumasi","Adjetey Anang, Toosweet Annan, Nadia Antwi",Kofi Asamoah
Knock Out,2010,Not Rated,"Action, Crime, Drama","Hidden with a mysterious agenda, a sniper holds a businessman hostage in a closed phone booth, where he is ordered to obey the sniper or he will be killed.","Shiraz Ahmed, Vishal Dadlani, Panchhi Jalonvi","Sanjay Dutt, Irrfan Khan, Kangana Ranaut",Mani Shankar
Knock Out,,,Action,A former boxing champion returns to the boxing ring after his release from prison to fulfill a promise to his daughter.,,"Elena Askin, Geng Han, Vivian Wu",
Knock Out,,,"Comedy, Thriller","A group of people from different walks of life were sent into a hilarious frenzy, after which they devise mischievous means to participate in the competition, with firm eyes on the prize.",,"9ice, Toyin Abraham, Odunlade Adekola",
Ana Barin Halak,,,,,,,
Bakon Yanayi,,,,,,,
Clustered Colours,,,Drama,"When three couples arrive at an all expense paid vacation at a private resort, it soon becomes clear that things between the couples might not be as rosy as they first appeared.",Adeniyi Adeniji,"Paul Adams, Tunbosun Aiyedehin, Lucy Ameh",Remi Ibinola
Meitantei Pikachuu: Shinkonbi tanjou,2016,,"Adventure, Crime, Family","In this adventure game for Nintendo 3DS, Tim Goodman must team with Detective Pikachu to track down Tim's father and Pikachu's former owner, Henry Goodman.","Hiroyuki Jinnai, Makoto Kadosawa, Yasunori Yanagisawa","Tôru Ohkawa, Yuma Uchida, Risa Shimizu",Naoki Miyashita
Heaven's Hell,2019,18,Drama,"This film, which was inspired by true events, is set in Lagos city and tells the story of two housewives whose bond of friendship seem unbreakable, but is filled with deceit and betrayal in the midst of the darkness that hovers above their relationships with their spouses.","Katung Aduwak, Tenyin Ikpe Etim, Uyai Ikpe-Etim","Damilola Adegbite, Bimbo Akintola, Chet Anekwe",Katung Aduwak
Heaven's Hell,2015,,Drama,"A determined teenaged girl, who despite her neglectful home life, and older, abusive boyfriend, is heading off to college to leave it all behind, but gets sidetracked when she falls for a local drug-dealer, immersing herself into his fast life of sex, money, and drugs.",Takerra Allen,"Oraldo Austin, Heinley Gaspard, Asha Hadiyah",Takerra Allen
Hitman's Wife's Bodyguard,2021,R,"Action, Comedy, Crime","The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia.","Tom O'Connor, Phillip Murphy, Brandon Murphy","Ryan Reynolds, Samuel L. Jackson, Salma Hayek",Patrick Hughes
Long Shot,2019,15,"Comedy, Romance","Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.","Dan Sterling, Liz Hannah","Charlize Theron, Seth Rogen, June Diane Raphael",Jonathan Levine
Long Shot,2017,,"Documentary, Crime, Sport","When Juan Catalan is arrested for a murder he didn't commit, he builds his case around raw footage from the popular TV show Curb Your Enthusiasm (2000).",,"Tasha Boggs, Juan Catalan, Melissa Catalan",
Long Shot,,,Drama,,"See writer, See producer",See preliminary cast,See company contact information
Long Shot,1978,,Drama,"Filmed around the 1977 Edinburgh Film Festival, Long Shot is a deadpan satire about the trials and tribulations of British independent filmmaking.","Maurice Hatton, Eoin McCann","Charles Gormley, Neville Smith, Ann Zelda",Maurice Hatton
Love or Quest,,,,,,,
Makate Must Sell,2019,12A,"Comedy, Romance","A young lady is pressured to get married by her aunt and family members, but finding a man to marry her is difficult until the man of her dreams shows up unexpectedly.",Don Omope,"Igwe 2pac, Toyin Abraham, Bisola Aiyeola",Don Omope
Night Bus to Lagos,2019,,Drama,,"Chico Ejiro, Stanley Isokoh","Monalisa Chinda, Pete Edochie, Daniel Lloyd",Chico Ejiro
Student of the Year 2,2019,Not Rated,"Action, Comedy, Drama","A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college's coveted Student of the Year trophy.","Arshad Syed, Karan Johar","Tiger Shroff, Ananya Pandey, Tara Sutaria",Punit Malhotra
Uyare,2019,,Drama,Pallavi is a strong-willed woman who has always aspired to become a pilot. How she gets back on her feet through sheer resilience after being beset by a series of personal crises forms the crux of the film.,"Bobby, Sanjay","Samyuktha Menon, Tovino Thomas, Parvathy Thiruvothu",Manu Ashokan
Aladdin,2019,12A,"Adventure, Comedy, Family",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"John August, Guy Ritchie","Will Smith, Mena Massoud, Naomi Scott",Guy Ritchie
Aladdin,1992,G,"Animation, Adventure, Comedy",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Ron Clements, John Musker, Ted Elliott","Scott Weinger, Robin Williams, Linda Larkin",Ron Clements
Aladdin,1994–1995,,"Animation, Action, Adventure","Aladdin, the clever hero of Agrabah, continues his adventures with the help of his fiancee Princess Jasmine, his pet monkey Abu, Magic Carpet, Iago the greedy parrot, and of course his best friend the semi-cosmic Genie.",,"Scott Weinger, Linda Larkin, Dan Castellaneta",
Cold Feet,1997–2020,,"Comedy, Drama, Romance","The show follows the lives of 30-something couples Adam and Rachel, Pete and Jenny, David and Karen as they navigate love and life in Manchester.",,"James Nesbitt, Robert Bathurst, John Thomson",
Cold Feet,1989,R,"Comedy, Crime","A psycho-killer with mommy issues, a charming crooked cowboy and their girl steal some jewels. The cowboy decides not to share and goes on the run with the loot. A crazy chase across the country between former partners in crime begins.","Thomas McGuane, Jim Harrison","Keith Carradine, Sally Kirkland, Tom Waits",Robert Dornhelm
Cold Feet,2019,,"Comedy, Horror","At a rented house, Eddie and his best friends unite for his bachelor party. The next day, though, a fight for sanity and survival begins when they discover there are snipers outside the house and a ghost inside, none of whom want the guys to leave.",Allen C. Gardner,"Adam Burns, Allen C. Gardner, Matthew Gilliam",Brad Ellis
Kalte Füße,2018,,Comedy,When Denis breaks into the Austrian winter cottage of rich business man Raimund he gets mistaken for the new nurse by Raimund's granddaughter Charlotte. In order not to get busted Denis decides to play along.,Christof Ritter,"Emilio Sakraya, Alex Czerwinski, Ischtar Isik",Wolfgang Groos
Cold Feet,2020,15,Drama,"A surprise trip to an exotic resort in celebration of their fifth anniversary turns out to be a disaster for a man and his wife, Omoye, as they run into a mutual friend - Omoye's old love interest. Their meeting rekindles a flame of romance that eventually leaves them scalded, the effort of which reverberates to other aspect's of their lives.","Temitope Bolade, Diche Enunwa, Chinneylove Eze","Femi Adebayo, Padita Agu, Segun Arinze",Moses Inwang
Cold Feet,1983,PG,Comedy,"When each is unlucky at love, a TV writer-director and a research scientist begin seeing each other.",Bruce Van Dusen,"Griffin Dunne, Marissa Chibas, Blanche Baker",Bruce Van Dusen
Cold Feet,1999– ,,"Comedy, Drama, Romance",Three young couples in Seattle are at different life and relationship stages.,,"David Sutcliffe, Jean Louisa Kelly, Dina Spybey-Waters",
De De Pyaar De,2019,Not Rated,"Comedy, Drama, Romance",A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.,"Surabhi Bhatnagar, Tarun Jain, Luv Ranjan","Ajay Devgn, Tabu, Rakul Preet Singh",Akiv Ali
Gold Statue,2019,15,"Adventure, Comedy, Drama","A prized gold statue drives two best buddies on an adventure to find it and unlock its powers. But does the statue even really exist - and if found, does it really hold magical powers?",Tade Ogidan,"Motunrayo Adeyemi, Kemi Afolabi, Gabriel Afolayan",Tade Ogidan
Brightburn,2019,18,"Drama, Horror, Mystery","What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?","Brian Gunn, Mark Gunn","Elizabeth Banks, David Denman, Jackson A. Dunn",David Yarovesky
India's Most Wanted,2019,Not Rated,"Action, Adventure, Thriller",A group of intelligence officers embark on a top secret mission to track down a wanted international criminal.,Raj Kumar Gupta,"Arjun Kapoor, Sudev Nair, Rajesh Sharma",Raj Kumar Gupta
Pivete,1987,,"Documentary, Short","Documentary about the harsh daily life of street kids in São Paulo, whether free or imprisoned in juvenile institutions, as told by themselves. Always smiling, they tell us about their favourite drugs, what they like to play, their routine at institutions, and other subjects.",,"Lucila Meirelles, Geraldo Anhaia Mello",
Bharat,2019,Not Rated,"Action, Comedy, Drama","At the cusp of India's birth as an Independent nation, a family makes an arduous journey to freedom at a cost. A young boy Bharat, makes a promise to his Father that he will keep his family together no matter what.","Su-jin Park, Varun V. Sharma, Ali Abbas Zafar","Salman Khan, Katrina Kaif, Sunil Grover",Ali Abbas Zafar
Coming from Insanity,2019,,"Crime, Drama, Thriller","In the mid-nineties, a 12 year-old boy (KOSSI) with genius-level intelligence, is one of many children trafficked through the Nigerian borders from Togo. He ends up with the MARTINS, an upper-middle class family of 4 in Lagos. At their home, he will work overtime for his meals and shelter as a houseboy. Fast forward to present day, Kossi is still a houseboy with the M... Read all",Akinyemi Sebastian Akinropo,"Gabriel Afolayan, Damilola Adegbite, Dakore Akande",Akinyemi Sebastian Akinropo
Mad About You,1992–2019,,"Comedy, Romance",Mad About You centers on the trials and tribulations of a married couple living in New York.,,"Paul Reiser, Helen Hunt, John Pankow",
Mad About You,1989,PG,Comedy,"Casey, a vice president of her father's company, has nobody in her life. But overnight, she meets three eligible bachelors: a preppy old friend, a star quarterback, and waiter-musician. With the help of her horny friend, she must decide the outcome of the dating game.",Lorenzo Doumani,"Claudia Christian, Joseph Gian, Adam West",Lorenzo Doumani
Mad About You,,,"Comedy, Romance","A celebrity couple look like a perfect pair in the eyes of the media, but their relationship struggles behind the scenes.","Temitope Bolade, Diche Enunwa","Blossom Chukwujekwu, Stephen Damian, Chichi Edward",Victor Okpala
Mad About You,2021,,"Short, Music",,,Joey Harlow,
Mad About You,2021,,"Short, Music",,,"Kari Wahlgren, Nikki Stringfield, Darren Bailey",
Men in Black: International,2019,12A,"Action, Adventure, Comedy","The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.","Matt Holloway, Art Marcum, Lowell Cunningham","Chris Hemsworth, Tessa Thompson, Kumail Nanjiani",F. Gary Gray
Virus,1999,R,"Action, Horror, Sci-Fi","After outrunning a typhoon at sea, a strong-willed tugboat navigator and her crew discover a high-tech alien life form that's taken control of a Russian research vessel and aims to destroy on a massive scale.","Chuck Pfarrer, Dennis Feldman","Jamie Lee Curtis, Donald Sutherland, William Baldwin",John Bruno
Ma,2019,18,"Horror, Mystery, Thriller","A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host.",Scotty Landes,"Octavia Spencer, Diana Silvers, Juliette Lewis",Tate Taylor
Toy Story 4,2019,G,"Animation, Adventure, Comedy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.","John Lasseter, Andrew Stanton, Josh Cooley","Tom Hanks, Tim Allen, Annie Potts",Josh Cooley
The Therapist,2021,,Drama,The story is based on a woman who has lost the happiness in her life after getting married and eventually obtains divorce from her abusive husband.,Akay Ilozobhie,"Toyin Abraham, Saidi Balogun, Shaffy Bello",Kayode Kasum
Annabelle Comes Home,2019,15,"Horror, Mystery, Thriller","While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.","Gary Dauberman, James Wan","Vera Farmiga, Patrick Wilson, Mckenna Grace",Gary Dauberman
Article 15,2019,Not Rated,"Crime, Drama, Mystery","In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.","Anubhav Sinha, Gaurav Solanki","Ayushmann Khurrana, Nassar, Manoj Pahwa",Anubhav Sinha
Spider-Man: Far from Home,2019,G,"Action, Adventure, Sci-Fi","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","Chris McKenna, Erik Sommers, Stan Lee","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal",Jon Watts
Stuber,2019,18,"Action, Comedy, Crime",A detective recruits his Uber driver into an unexpected night of adventure.,Tripper Clancy,"Dave Bautista, Kumail Nanjiani, Mira Sorvino",Michael Dowse
Yesterday,2019,PG-13,"Comedy, Fantasy, Music",A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate reality where they never existed.,"Richard Curtis, Jack Barth","Himesh Patel, Lily James, Sophia Di Martino",Danny Boyle
Rant Queens,2019,12,Drama,,Patrick Nnamani,"Tana Adelana, Kunle Coker, Daniel K. Daniel",Lancelot Oduwa Imasuen
The Real Us,,,"Comedy, Romance",,Doris Ariole,"Bimbo Ademoye, Ivy Antiev, Chinonso Arubayi",Kayode Peters
Super 30,2019,12A,"Biography, Drama",Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,Sanjeev Dutta,"Hrithik Roshan, Mrunal Thakur, Nandish Singh Sandhu",Vikas Bahl
Jhootha Kahin Ka,2019,15,Comedy,"Two boys go to Mauritius to study and love it so much there, that they are reluctant to return home. Rishi plays Omkar's dad who turns up from the village to surprise him and is in turn surprised by his son's lifestyle.","Shreya Srivastava, Vaibhav Suman","Rishi Kapoor, Jimmy Shergill, Sunny Singh Nijjar",Smeep Kang
Crawl,2019,15,"Action, Adventure, Horror","A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.","Michael Rasmussen, Shawn Rasmussen","Kaya Scodelario, Barry Pepper, Morfydd Clark",Alexandre Aja
Crawl,2011,Not Rated,"Crime, Thriller","A seedy bar owner hires a mysterious Croatian to commit murder, but a planned double-crossing backfires when a young waitress is taken hostage. A suspenseful, yet darkly humorous chain of events builds to a bloodcurdling climax.",Paul China,"George Shevtsov, Bob Newman, Georgina Haig",Paul China
Executioner,,,"Crime, Drama","Set in 1981, Norman Mailer helped get killer Jack Henry Abbott paroled from prison, leading to him killing again.",,Boyd Holbrook,
Jabariya Jodi,2019,Not Rated,"Action, Comedy, Drama",A thug helps kidnap grooms in order to avoid paying out dowries for their upcoming marriage.,Sanjeev k Jha,"Sidharth Malhotra, Parineeti Chopra, Jaaved Jaaferi",Prashant Singh
Kalki,2019,,"Action, Comedy, Crime","Nanchenkotta is beset by problems and civilian life in here is a nightmare. However, the arrival of a fearless police officer with a strong sense of justice is about to change Nanchenkotta's law and order situation - once and for all.","Praveen Prabharam, Sujin Sujathan","Tovino Thomas, Dheeraj Denny, Samyuktha Menon",Praveen Prabharam
Kalki,2019,,"Action, Thriller","The village of Kollapuram is under the rule of Narsappa (Ashutosh Rana) and Perumal (Shatru). One day during a local festival Sekhar (Siddhu Jonnalagadda), brother of Narsappa gets killed. Kalki (Rajasekhar) is appointed as the investigation officer. Who is behind the murder of Sekhar Babu and how Does Kalki conclude the mystery is what the movie is all about?","Saitej Desharaj, Tajuddin Syed, Prasanth Varma","Rajasekhar, Adah Sharma, Sidhu Jonnalagadda",Prasanth Varma
Kalki,2004–2007,,Drama,"Kalki is the story about a woman named Kalki (Khushbu Sundar) who falls in love with multi millionaire Abhishek. With the permission of Abhishek's family, they get married. Kalki also takes part in Abhishek's businesses. Later Abhishek learns that he has cancer and he will die soon, so he acts as if he hates Kalki (So that when he dies, she would break down). Later af... Read all",,"Delhi Ganesh, Aravind Akash, Shyam Ganesh",
Kalki,1996,,"Drama, Romance","Chellammaa,is a singer by profession. She gets married to a male chauvinist pig who insults and humiliates her, because she can't have a child. Will her fate change?",,"Prakash Raj, Shruti, Rahman",
Kalki,,,"Action, Thriller",,Bharadwaj Panda,"Jyotrimayee Bal, Suresh Bal, Saroj Das",Tapas Sargharia
Locked,2020,,Thriller,"the story of Dr Anand Chakravarthy ( Satyadev ), a neurosurgeon, and what happens when he is trapped inside his own house.",,"Satyadev Kancharana, Samyuktha Hornadu, Sri Lakshmi",
Angel Has Fallen,2019,15,"Action, Thriller",Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.,"Robert Mark Kamen, Matt Cook, Ric Roman Waugh","Gerard Butler, Frederick Schmidt, Danny Huston",Ric Roman Waugh
Batla House,2019,15,"Action, Crime, Drama","In 2008, a violent shootout with terror suspects leaves one police officer struggling to hunt down the fugitives and justify the police action.",Ritesh Shah,"John Abraham, Mrunal Thakur, Nora Fatehi",Nikkhil Advani
Mission Mangal,2019,12A,"Drama, History, Sci-Fi","Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan), making it the least expensive mission to Mars.","R. Balki, Saketh Kondiparthi, Jagan Shakti","Akshay Kumar, Vidya Balan, Taapsee Pannu",Jagan Shakti
Sade Takes Lagos,2019,,"Comedy, Drama, Family",,Debola A.I.,"Foluke Daramola, Cynthia Ebijie, Nkechi Emmanuel",Chibuike Ibe
Single Action,1998,,"Action, Drama","The killing of a political leader shatters the peace of a small Mexican town. MANCO, the brother of the murdered presidential candidate knows the killer and sets out to exact his revenge. Arriving to investigate the assassination is special agent AMIGO from the Mexican Intelligence. Amigo quickly strikes up a friendship with a local hotel owner who fills him in on the... Read all",Carlos Gallardo,"Carlos Gallardo, Alejandra Prado, Miguel Gurza",Carlos Gallardo
Single Action,,,"Crime, Romance, Sci-Fi",,"See writer, See producer",See preliminary cast,See company contact information
The Perfect Picture: Ten Years Later,2019,,"Comedy, Romance","The girls are back. And their lives haven't lost one spark of the drama they had 10 years ago. In fact, these girls are saddled with more issues in their not-so-fairy-tale relationships. It's a roller coaster ride of imperfect husbands, repentant ex-boyfriends, and daring romantic exploits. A movie about growing up and everything in between.",Shirley Frimpong-Manso,"Jackie Appiah, Naa Ashorkor Mensa-Doku, Lydia Forson",Shirley Frimpong-Manso
