Title,Release Year,Parent Rating,genre,Summary,Writers,Stars,Direcctor
The Confessor,2019,,Drama,"After the murder and rape of his sister, the only surviving member of his family. Rev. Frank loses his faith and undergoes a personal transformation.","Echobu Michael Garuba, Chris Layi, Ubong Bassey Nya","Bimbo Ademoye, Jumaima Akange, Gbadamose Bernard",Chibuike Ibe
Can You Keep a Secret?,2019,TV-MA,"Comedy, Romance","Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller.","Peter Hutchings, Sophie Kinsella","Alexandra Daddario, Tyler Hoechlin, Sunita Mani",Elise Durán
The Call of the Wild,2020,PG,"Adventure, Drama, Family",A sled dog struggles for survival in the wilds of the Yukon.,"Michael Green, Jack London, Egerton Ryerson Young","Harrison Ford, Omar Sy, Cara Gee",Chris Sanders
The Cock-Tale,,,"Thriller, Comedy","A well-to-do woman runs over a rooster, setting off a chain of unexpected events.",,"Olaniyi Afonja, Saidi Balogun, Lanre Hassan",
The Cleanser,,,Drama,"Following a series of political assassinations, an investigator starts to believe that her own brother is responsible for the killings.",,"Chiwetalu Agu, Kehinde Bankole, Nkechi Blessing",
The Courier,2020,PG-13,"Drama, History, Thriller",Businessman Greville Wynne is asked by a Russian source try to help put an end to the Cuban Missile Crisis.,Tom O'Connor,"Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan",Dominic Cooke
The Conjuring: The Devil Made Me Do It,2021,R,"Horror, Mystery, Thriller",The Warrens investigate a murder that may be linked to a demonic possession.,"David Leslie Johnson-McGoldrick, James Wan, Chad Hayes","Patrick Wilson, Vera Farmiga, Ruairi O'Connor",Michael Chaves
Crazy Grannies,,,"Comedy, Drama",This comedy/drama movie follows the hilarious adventures of three grandmas who decide to take a much-needed all-girls trip to a resort where they have the adventures of their lives.,Joy Elumelu,"Rosemary Abazie, Adebowale Adedayo, Princess Damilola Adekoya",Tope Alake
The Delivery Boy,2018,,"Drama, Thriller","A runaway, teenage, suicide bomber and his newfound ally, a young prostitute, must rely on each other to survive the night while searching for answers to the terrible secrets that made them who they are.",Adekunle Nodash Adejuyigbe,"Ibrahim Jammal, Jemima Osunde, Charles Etubiebi",Adekunle Nodash Adejuyigbe
The Detour,2016–2019,,"Adventure, Comedy","A contemporary father takes his family on a road trip across America, but a set of crazy, unforeseen circumstances causes them to end up on the run from the FBI.",,"Jason Jones, Natalie Zea, Ashley Gerasimovich",
Dark Phoenix,2019,15,"Action, Adventure, Sci-Fi","Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence",Simon Kinberg
Elliot the Littlest Reindeer,2018,PG,"Animation, Family","When Blitzen announces his retirement on December 21st, a miniature horse has 3 days to fulfill his lifelong dream of earning a spot on Santa's team at the North Pole try-outs.",Jennifer Westcott,"Morena Baccarin, Josh Hutcherson, Martin Short",Jennifer Westcott
Eyimofe,2020,Not Rated,Drama,"In Lagos, Nigeria, tragedy and fate intervene as two people try to better the lives of their families.",Chuko Esiri,"Emmanuel Adeji, Mary Agholor, Kemi Lala Akindoju",Arie Esiri
Eternals,2021,PG-13,"Action, Adventure, Fantasy","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","Chloé Zhao, Patrick Burleigh, Ryan Firpo","Gemma Chan, Richard Madden, Angelina Jolie",Chloé Zhao
Get Married,2007,,"Comedy, Romance","Mae (Nirina Zubir) and her friends have big obsessions to become big people but instead, they all end up becoming something that they didn't dream of. Be they frustrated young people who spent days together in a hut on the edge of river.",Musfar Yasin,"Nirina Zubir, Deddy Mahendra Desta, Ringgo Agus Rahman",Hanung Bramantyo
Godzilla: King of the Monsters,2019,15,"Action, Adventure, Fantasy","The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.","Michael Dougherty, Zach Shields, Max Borenstein","Kyle Chandler, Vera Farmiga, Millie Bobby Brown",Michael Dougherty
Atiye,2019–2021,,"Drama, Fantasy, Mystery",A painter in Istanbul embarks on a personal journey as she unearths universal secrets about an Anatolian archaeological site and its link to her past.,,"Beren Saat, Mehmet Günsür, Melisa Senolsun",
The Ghost and the Tout Too,2021,,"Comedy, Fantasy","A woman who can reluctantly communicate with ghosts tries to help the spirit of a woman whose body is in a coma, leaving her trapped between life and death.","Uyoyou Adia, Yusuf Carew, Akay Ilozobhie","Toyin Abraham, Osas Ighodaro, Mercy Johnson Okojie",Michael Akinrogunde
The Garbage School,,,Drama,Two teenage friends find themselves struggling in a badly run school and decide to revolt against the system that has held them down.,"Jessica Agu, Abdullahi Ismaila","Jessica Agu, Mary Ann Apollo, Sani Danja",Jessica Agu
The Terminal List,2022– ,,"Action, Drama, Thriller",A former Navy SEAL officer investigates why his entire platoon was ambushed during a high-stakes covert mission.,,"Chris Pratt, Jared Shaw, LaMonica Garrett",
Fast & Furious Presents: Hobbs & Shaw,2019,15,"Action, Adventure, Thriller","Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.","Chris Morgan, Drew Pearce, Gary Scott Thompson","Dwayne Johnson, Jason Statham, Idris Elba",David Leitch
Ford v Ferrari,2019,PG-13,"Action, Biography, Drama",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Jez Butterworth, John-Henry Butterworth, Jason Keller","Matt Damon, Christian Bale, Jon Bernthal",James Mangold
Frozen II,2019,PG,"Animation, Adventure, Comedy","Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.","Jennifer Lee, Hans Christian Andersen, Chris Buck","Kristen Bell, Idina Menzel, Josh Gad",Chris Buck
Fate of Alakada,2020,,Comedy,"Faking her way through any situation, a social media influencer poses as an event planner and is tasked with throwing an extravagant, star-studded bash.","Mimi Bartels, Ozioma Ogbaji, Yakubu Olawale","Toyin Abraham, Broda Shaggi, Odunlade Adekola",Kayode Kasum
Fraud Saiyyan,2019,Not Rated,"Comedy, Drama",Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.,"Amal Donwaar, Prakash Jha, Sharad Tripathi","Arshad Warsi, Saurabh Shukla, Flora Saini",Sourabh Shrivastava
Forever Mine,,,"Drama, Thriller",Newly wed couple Oladele and Funmilayo embark on their honeymoon in a country side where tragedy struck!!!!,"Doyin Amodu, Yemi Amodu","Femi Adebayo, Kareem Adepoju, Doyin Amodu",Doyin Amodu
The Fugitive,2020,,"Action, Crime, Drama","With the city in a state of panic and misinformation traveling at the speed of social media, Mike's life and family hang in the balance as he becomes - The Fugitive.",,"Boyd Holbrook, Natalie Martinez, Tiya Sircar",
Fantasy Island,2020,PG-13,"Fantasy, Horror, Mystery","When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.","Jeff Wadlow, Christopher Roach, Jillian Jacobs","Michael Peña, Maggie Q, Lucy Hale",Jeff Wadlow
La Femme Anjola,2021,,Thriller,La femme Anjola is a psychological-thriller film noir about a young male stock broker whose life is turned upside down when he falls for a femme fatale married to a wealthy gangster.,Tunde Babalola,"Paul Adams, Jumoke Aderounmu, Nonso Bassey",Mildred Okwo
The Forever Purge,2021,R,"Action, Horror, Thriller",All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end.,James DeMonaco,"Ana de la Reguera, Tenoch Huerta, Josh Lucas",Everardo Gout
The Intruder,2019,15,"Drama, Thriller","A young married couple buy a beautiful house on several acres of land, only to find out that the man they bought it from refuses to let go of the property.",David Loughery,"Michael Ealy, Meagan Good, Dennis Quaid",Deon Taylor
It Chapter Two,2019,18,"Drama, Fantasy, Horror","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.","Stephen King, Gary Dauberman","Jessica Chastain, James McAvoy, Bill Hader",Andy Muschietti
The Invisible Man,2020,R,"Drama, Horror, Mystery","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.","Leigh Whannell, H.G. Wells","Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer",Leigh Whannell
Yip Man 4,2019,Not Rated,"Action, Biography, Drama",The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.,"Edmond Wong, Hiroshi Fukazawa, Tai-lee Chan","Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan",Wilson Yip
John Wick: Chapter 3 - Parabellum,2019,15,"Action, Crime, Thriller","John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.","Derek Kolstad, Shay Hatten, Chris Collins","Keanu Reeves, Halle Berry, Ian McShane",Chad Stahelski
Judgementall Hai Kya,2019,18,"Comedy, Drama, Mystery",Following the story of two quirky individuals whose lives pivot between reality and illusions.,Kanika Dhillon,"Kangana Ranaut, Rajkummar Rao, Amyra Dastur",Prakash Kovelamudi
The Journey of the S,2020,PG,Drama,,"Adetomi Adeyemi, Hafeez Adeyemi","Chisom Agoawuike, Ejike Asiegbu, Chucks Chyke",Hafeez Adeyemi
A New Flame,2019,,"Comedy, Drama","Efua, suffers from Leukaemia, but is bent of seeing her music career take off much to the disapproval of her father. At the same time, the hacker Kwadwo, is trying to get out of a scamming gang, so he can pursue his dreams of making art.",Eric Tabi,"Jake Aryee, Richard Asante, Edinam Atatsi",Eric Tabi
Green Book,2018,15,"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,"Nick Vallelonga, Brian Hayes Currie, Peter Farrelly","Viggo Mortensen, Mahershala Ali, Linda Cardellini",Peter Farrelly
The Grinch,2018,G,"Animation, Adventure, Comedy",A grumpy Grinch plots to ruin Christmas for the village of Whoville.,"Michael LeSieur, Tommy Swerdlow, Dr. Seuss","Benedict Cumberbatch, Cameron Seely, Rashida Jones",Yarrow Cheney
The Ghost and the House of Truth,2019,12A,Drama,"Bola Ogun (Susan Wokoma) is a dedicated counselor, who facilitates reconciliation sessions between convicts and the victims of their crimes. When her own daughter goes missing, her belief in forgiveness is tested.","Brian Tilley, Roger Smith, Tracy A. Whitaker","Susan Wokoma, Kate Henshaw-Nuttal, Fabian Adeoye Lojede",Akin Omotoso
The Good Liar,2019,18,"Crime, Drama, Mystery","Consummate con man Roy Courtnay has set his sights on his latest mark: the recently widowed Betty McLeish, worth millions. But this time, what should have been a simple swindle escalates into a cat-and-mouse game with the ultimate stakes.","Nicholas Searle, Jeffrey Hatcher","Helen Mirren, Ian McKellen, Russell Tovey",Bill Condon
The Croods 2: A New Age,2020,PG,"Animation, Adventure, Comedy","The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.","Kevin Hageman, Dan Hageman, Paul Fisher","Nicolas Cage, Emma Stone, Ryan Reynolds",Joel Crawford
King of Boys,2018,18,"Crime, Drama","When a powerful businesswoman's political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",Kemi Adetiba,"Sola Sobowale, Remilekun Reminisce Safaru, Adesua Etomi-Wellington",Kemi Adetiba
Knockout Blessing,2018,TV-14,"Action, Crime, Thriller","Knock Out Blessing is an intriguing tale about a girl named Blessing, whose ambition to achieve her dream and escape poverty, take her down a path that leads into the criminal underworld, and finally face to face with the underbelly of the Nigerian political system.",Dare Olaitan,"Ade Laoye, Bucci Franklin, Ademola Adedoyin",Dare Olaitan
The Kid Who Would Be King,2019,12A,"Action, Adventure, Family",A band of kids embark on an epic quest to thwart a medieval menace.,Joe Cornish,"Louis Ashbourne Serkis, Denise Gough, Dean Chaumoo",Joe Cornish
The Kitchen,2019,18,"Action, Crime, Drama",The wives of New York gangsters in Hell's Kitchen in the 1970s continue to operate their husbands' rackets after they're locked up in prison.,"Andrea Berloff, Ollie Masters, Ming Doyle","Melissa McCarthy, Tiffany Haddish, Elisabeth Moss",Andrea Berloff
KOKO: The Box TV,2018,,"Comedy, Crime, Drama",Koko becomes a special target when he purchases a condemned box television that has hidden secrets inside it.,Kester Nsirim,"Michael Abalugo, Mercy Aghedo, Bimbo Akintola",Kester Nsirim
Kambili: The Whole 30 Yards,2020,,Romance,"Kambili Maduka, is an irresponsible, spoiled, spendthrift 28-year-old woman who is turning 29 in a few days. The only thing on her mind is to get married before she turns 30. However, after getting suspended from work due to her incessant lateness, she goes on a date with her boyfriend and he breaks up with her, dashing her hopes of getting married before 30. She deci... Read all",Ozioma Ogbaji,"Nancy Isime, Mawuli Gavor, Jide Kene Achufusi",Kayode Kasum
The King's Man,2021,R,"Action, Adventure, Thriller","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.","Matthew Vaughn, Karl Gajdusek, Mark Millar","Ralph Fiennes, Gemma Arterton, Rhys Ifans",Matthew Vaughn
The Lego Movie 2: The Second Part,2019,PG,"Animation, Action, Adventure","It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild.","Phil Lord, Christopher Miller, Matthew Fogel","Chris Pratt, Elizabeth Banks, Will Arnett",Mike Mitchell
The Lion King,2019,G,"Animation, Adventure, Drama","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.","Jeff Nathanson, Irene Mecchi, Jonathan Roberts","Donald Glover, Beyoncé, Seth Rogen",Jon Favreau
LadyBuckit & The MotleyMopsters,,,"Animation, Adventure, Fantasy","A precocious, self absorbed little girl finds herself in wildly unfamiliar territory. There, she encounters a band of highly unusual characters who change the course of her destiny. A precocious, self absorbed little girl finds herself in wildly unfamiliar territory. There, she encounters a band of highly unusual characters who change the course of her destiny.","Pamela Agboga, Julie Ako, Paul Dike Chioma","Jessica Edwards, Patrick Doyle, Bimbo Akintola",Adebisi Adetayo
Mary Poppins Returns,2018,PG,"Adventure, Comedy, Family","A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.","P.L. Travers, David Magee, Rob Marshall","Emily Blunt, Lin-Manuel Miranda, Ben Whishaw",Rob Marshall
Mortal Engines,2018,15,"Action, Adventure, Fantasy","In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.","Fran Walsh, Philippa Boyens, Peter Jackson","Hera Hilmar, Robert Sheehan, Hugo Weaving",Christian Rivers
The Mule,2018,18,"Crime, Drama, Thriller",A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,"Nick Schenk, Sam Dolnick","Clint Eastwood, Patrick L. Reyes, Cesar De León",Clint Eastwood
The Matrix Resurrections,2021,R,"Action, Sci-Fi","Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.","Lana Wachowski, David Mitchell, Aleksandar Hemon","Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II",Lana Wachowski
Mr President,2016,,"Action, Comedy","Can you take a bullet for the soon to be President of the United States of America? You play as Dick Johnson a bulletproof man, the best bodyguard money can buy. He is sworn to protect the most hated presidential candidate of all time.",,,
Mokalik (Mechanic),2019,12A,"Comedy, Drama","'Mokalik' follows the career of an 11-year-old boy, Ponmile, from the middle-class suburbs who spends the day as a lowly apprentice at a mechanic workshop in order to view life from the other side of the tracks - When his father arrives to take him home; Ponmile has to make up his mind if he wants to return to school or take on his apprenticeship full time.",Tunde Babalola,"Tooni Afolayan, Simi Ogunleye, Femi Adebayo",Kunle Afolayan
Mothers & Daughters-in-Law,,,"Comedy, Drama",Three mothers go to visit their married sons and get into a mess of drama with their daughters-in-law.,Kehinde Olorunyomi,"Shaffy Bello, Frankincense Eche-Ben, Monica Friday",Kehinde Olorunyomi
Merry Men 2,2019,18,"Action, Comedy","Things have changed for the charming foursome, the Merry Men. They've hung the boots on robbing the rich to give to the poor and focus squarely on running their businesses. AYO ALESINLOYE, the charming leader of the pack, prepares to wed EFCD field operative, DERA, the love of his life. Naz prepares to be a father, thrilled that KEMI, his wife and Ayo's younger sister... Read all",Anthony Kehinde Joseph,"Damilola Adegbite, Alex Asogwa, Regina Daniels",Moses Inwang
The Millions,2019,18,"Comedy, Thriller","Bem is the ultimate guy. With good looks, sweet mouth and with an intellect that can only be rivaled by his humour. When Bem is approached by an old friend, Wole Baba, about a job, his first thought is to walk away as he fears the heat that will come with such job. The job is simple enough; there is a stack of forty-two million dollars hidden away in an apartment owne... Read all",Tunde Apalowo,"Toyin Abraham, Vera Chidera, Blossom Chukwujekwu",Tunde Apalowo
The Miracle Centre,2020,,Comedy,,"Stanley Isokoh, Niyi Towolawi","Femi Adebayo, Odunlade Adekola, Woli Agba",Niyi Towolawi
Makota Valdina,2019,,Documentary,"Makota Valdina was a mametu nkisi (mãe de santo/afro brazilian shaman) of Angola's Camdomble at the Terreiro Nzo Onimboya in Salvador. Since the 1970s until her recent passing away, she was a central figure in the struggle for the defense of African religions, black populations and women's rights. In this film she tells her life story, the relationship between Candomb... Read all",,Pedro Aspahan,
The Misfits,2021,R,"Action, Adventure, Comedy","After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.","Kurt Wimmer, Robert Henny","Pierce Brosnan, Tim Roth, Nick Cannon",Renny Harlin
Thirty Pieces of Silver,2020,15,"Action, Drama","Detective Shola (Nse Ikpe-Etim) knows it will be a career-high to finally pin down the ruthless Chief Boga (Jide Kosoko), a drug lord with a history of evading arrest and a reputation for killing his nemesis. But her resolve is tested by Martins (Enyinna Nwigwe), her absentee husband's closest friend who seeks refuge in her home after he is evicted by his landlord. Bu... Read all","Yomi Alvin, Charles Granville","Nse Ikpe-Etim, Enyinna Nwigwe, Charles Granville",Robert Peters
Mati a Zazzau,,,Drama,,Yakubo M. Kumo,"Hadiza Blell, Umar Gombe, Aminu Sheriff Momoh",Yaseen Auwal
The Herbert Macaulay Affair,2019,,Drama,,Bisi Jamgbadi,"Sunday Afolabi, Tunbosun Aiyedehin, Olaide Almaroof",Imoh Umoren
The Wedding Year,2019,18,"Comedy, Romance",A commitment-phobic 27 year old's relationship is put to the test when she and her new boyfriend go to 7 weddings in the same year.,Donald Diego,"Sarah Hyland, Tyler James Williams, Jenna Dewan",Robert Luketic
Jarumai,2006,,,,,"Zainab Booth, Sani Danja, Abba El-Mustapha",
Nimbe: The Movie,2019,12A,Drama,"Nimbe is a story addressing the issues associated with drug abuse, some of the causes, how to identify and avoid such.","Ronke Gbede, Yakubu Olawale","Doyin Abiola, Toyin Abraham, Odunlade Adekola",Tope Alake
The High Note,2020,PG-13,"Drama, Music, Romance",A superstar singer and her overworked personal assistant are presented with a choice that could alter the course of their respective careers.,Flora Greeson,"Dakota Johnson, Tracee Ellis Ross, Kelvin Harrison Jr.",Nisha Ganatra
The New Patriots,2021,,Drama,The film celebrates youth participation in the democratic process.,Rotimi Adelola,"Lateef Adedimeji, Damipe Adekoya, Motilola Adekunle",Terry Ayebo
The New Mutants,2020,PG-13,"Action, Horror, Mystery","Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.","Josh Boone, Knate Lee","Maisie Williams, Anya Taylor-Joy, Charlie Heaton",Josh Boone
Odaju obinrin,2006,,Drama,,,"Aisha Abimbola, Funso Adeolu, Yemi Solade",
Olokiki Oru: The Midnight Sensation,2019,,"Action, Crime, Drama","After the fall of the Oyo Empire and its becoming a British protectorate in 1888, two rival armed robbers strikes fear on several Yoruba towns in their fight for dominance, wealth and the heart of a fearless, beautiful Princess.",Ibrahim Chatta,"Lateef Adedimeji, Idowu Adenekan, Fatai Adetayo",Seun Olaiya
Once Upon a Time in... Hollywood,2019,18,"Comedy, Drama",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie",Quentin Tarantino
On My Honour,,,"Comedy, Drama",,"Kabat Esosa Egbon, Thomas Obi, Samuel Ogunbiyi","Tony Akposeri, Fred Amata, Ada Ameh",Samuel Ogunbiyi
Poltergeist II: The Other Side,1986,PG-13,Horror,"The Freeling family have a new house, but their troubles with supernatural forces don't seem to be over.","Mark Victor, Michael Grais","JoBeth Williams, Craig T. Nelson, Heather O'Rourke",Brian Gibson
Power of 1,2018,,Drama,"Izu Ojukwu's Power of 1 is now available on Amazon Prime Video for viewers in the US and UK. The political thriller, which is partly inspired by 2 Baba's shelved 2017 protests stars Alexx Ekubo in the lead role of Justin Aba, a socially conscious afro-pop artiste with a large following. When Justin Aba decides to use his influence to stage a protest against the polici... Read all",Efe Omorogbe,"Padita Agu, Lucy Ameh, Jibola Dabo",Izu Ojukwu
The Photograph,2020,PG-13,"Drama, Romance",A series of intertwining love stories set in the past and in the present.,Stella Meghie,"Issa Rae, LaKeith Stanfield, Chanté Adams",Stella Meghie
Second Act,2018,12A,"Comedy, Drama, Romance",A big box store worker reinvents her life and her life-story and shows Madison Avenue what street smarts can do.,"Justin Zackham, Elaine Goldsmith-Thomas","Jennifer Lopez, Vanessa Hudgens, Leah Remini",Peter Segal
